单词,词性,English,释义,备注
protocole,n. m.,protocol,协议,"le protocole d'accord 协议书 "
uranium,n. m.,,铀,第92号元素U
préluder,v. i.,prelude,调音,"préduler à 为...做准备, 展开...的序幕"
extraction,n. f.,,采掘; 提取,la extraction d'uranium 轴的采掘
défilé,n. m.&adj.,parade,峡道; 游行队伍; 络绎不绝&掩蔽的,defilés masculins 男装秀
vibrant/vibrante,adj.&n. f.,vibrating,振动的; 响亮有力的&颤辅音,
griffe,n. f.,"clutch, claw",风格; 爪子,可以指設計師的風格
garde-robe,n. f.,wardrobe,衣櫥; 四季服裝,
frais/fraîche,adj.,"fresh, cool",涼爽的; 冷淡的; 新鮮的; 純真的,
gai/giae,adj.,gay,快活的; 令人愉快的,
insouciance,n. f.,unconcern,无忧无虑的,
vestiaire,n. m.,dressing-room,衣帽间,
nuance,n. f.,,色调,
prêt-à-porter,n. m.,ready-made,现成服装,
fond,n. m.,background,底; 背景,
toile,n. f.,canvas,画布,
fuchsia,adj.,,品红色,fond de toild rose fuchsia 紫红色画布背景
styliste,n.,designer,设计师,
déterminé/déterminée,adj.,determined,坚决的,
légèrement,adv.,lightly,轻轻地,
trompette,n. f.,trompet,喇叭,
imprimé/imprimée,adj.&n. m.,printed paper,印刷的&印刷品,
poignet,n. m.,wrist; cuff,手腕; 袖口,
cobalt,n. m.,,钴,第27号元素
égayer,v. t.,cheer,使高兴,
dévergondé/dévergondée,adj.,shameless,放荡不羁的,
dentifrice,n. m.,,牙膏,dent+i+frice 牙+摩擦
tuyau,n. m.,pipe,水管,
passage,n. m.,,通过; 走廊,
baptiser,v. t.,baptize,行洗礼,宗教活动中给婴儿行洗礼
inaugurer,v. t.,inaugurate,举行开幕典礼; 开始,多用于剪彩活动
couronner,v. t.,crown,加冕,
enflammer,v. t.,inflame,点燃,
par le temps qui court,l.,nowadays,最近,固定短语
aisance,n. f.,ease,轻松,avec aisance
éclat,n. m.,splinter; glow,碎片; 发光,
perturbation,n. f.,disruption,干扰,
provoquer,v. t.,provoke,煽动; 引起,
proscrire,v. t.,proscribe,流放; 废除,
prodiguer,v. t.,waste,浪费,
féliciter,v. t.,congratulate,祝贺,se féliciter de 感到庆幸
ranger,v. t.,range,整理,se ranger à 赞同意见
frite,n. f.,French fries,薯条,常用复数形式
librairie,n. f.,bookshop,书店,
facture,n. f.,invoice,发票,
régler la course,l.,,支付里程费,
surmené,adj.,,,
vache,n. f.,cow,母牛,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,